date, timestamp, heart_rate, AVNN, SDNN, rMSSD, pNN50, LF, HF, LFHF, alpha1, artifacts_removed, steps, latitude, longitude
2021-04-14 18:07:32 +0000, 00:30:00, 145.600440, 412.086667, 4.018518, 2.489166, 0.000000, 0.001122, 0.001176, 0.954247,0.630467, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:08:32 +0000, 00:31:00, 144.164760, 416.190476, 3.349651, 2.159182, 0.000000, 0.000000, 0.000010, 0.000000,0.527948, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:09:32 +0000, 00:32:00, 142.534047, 420.952055, 3.966392, 2.024160, 0.000000, 0.000000, 0.000010, 0.000000,1.107146, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:10:32 +0000, 00:33:00, 141.639853, 423.609589, 4.357575, 1.721998, 0.000000, 0.001203, 0.001700, 0.707319,0.933345, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:11:32 +0000, 00:34:00, 139.945742, 428.737589, 5.236128, 1.793273, 0.000000, 0.000000, 0.000010, 0.000000,1.087977, 2.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:12:32 +0000, 00:35:00, 140.236975, 427.847222, 3.644353, 1.902556, 0.000000, 0.001103, 0.001131, 0.975616,0.821977, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:13:32 +0000, 00:36:00, 139.511873, 430.070922, 3.031515, 1.785231, 0.000000, 0.001212, 0.001318, 0.919548,0.774788, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:14:32 +0000, 00:37:00, 138.264664, 433.950355, 7.820103, 1.821139, 0.000000, 0.000000, 0.000010, 0.000000,1.025494, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:15:32 +0000, 00:38:00, 137.378363, 436.750000, 3.612286, 1.578910, 0.000000, 0.001506, 0.001688, 0.892165,1.151119, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:16:32 +0000, 00:39:00, 137.596773, 436.056738, 4.406131, 1.655599, 0.000000, 0.000000, 0.000010, 0.000000,1.240590, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:17:32 +0000, 00:40:00, 133.906431, 448.074074, 4.980070, 1.760041, 0.000000, 0.000000, 0.000010, 0.000000,1.175466, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:18:32 +0000, 00:41:00, 128.363923, 467.421053, 11.003965, 1.632214, 0.000000, 0.001803, 0.002207, 0.817133,1.643635, 0.000000, 0.000000, 0.000000, 0.000000
